fm_id,inst_fk,institution_role,import
6569,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6570,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6571,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6572,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6573,21,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6574,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6575,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6576,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6577,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6578,21,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6579,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6580,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6581,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6582,21,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6583,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6584,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6585,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6586,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6587,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6588,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6589,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6590,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6591,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6592,21,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6593,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6594,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6595,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6596,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6597,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6598,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6599,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6600,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6601,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6602,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6603,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6604,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6605,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6606,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6607,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6608,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6609,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6610,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6611,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6612,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6613,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6614,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6615,22,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6616,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6617,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6618,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6619,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6620,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6621,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6622,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6623,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6624,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6625,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6626,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6627,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6628,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6629,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6630,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6631,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6632,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6633,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6634,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6635,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6636,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6637,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6638,21,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6639,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6640,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6641,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6642,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6643,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6644,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6645,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6646,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6647,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6648,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6649,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6650,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6651,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6652,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6653,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6654,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6655,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6656,21,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6657,21,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6658,22,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6659,22,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6660,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6661,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6662,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6663,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6664,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6665,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6666,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6667,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6668,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6669,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6670,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6671,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6672,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6673,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6674,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6675,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6676,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6677,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6678,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6679,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6680,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6681,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6682,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6683,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6684,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6685,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
