fm_id,link,project_fm_id,import
4220,https://www.digitale-sammlungen.de/en/view/bsb10326294,23,Imported from 20230728_Alma_Caa_all.xml
4220,http://id.sbn.it/bid/NAPE001532,26,Imported from 20230728_Alma_Caa_all.xml
4221,http://gso.gbv.de/DB=1.28/XMLPRS=Y/PPN?PPN=0004713249,24,Imported from 20230728_Alma_Caa_all.xml
4221,http://picarta.pica.nl/DB=3.11/XMLPRS=Y/PPN?PPN=322685737,,Imported from 20230728_Alma_Caa_all.xml
4221,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10403705-6,23,Imported from 20230728_Alma_Caa_all.xml
4222,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10403710-5,23,Imported from 20230728_Alma_Caa_all.xml
4222,http://gso.gbv.de/DB=1.28/XMLPRS=Y/PPN?PPN=0001450425,24,Imported from 20230728_Alma_Caa_all.xml
4223,http://gateway-bayern.de/VD16+C+5618,43,Imported from 20230728_Alma_Caa_all.xml
4223,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10206625-7,23,Imported from 20230728_Alma_Caa_all.xml
4224,http://anet.be/record/stcv/stcvopac/c:stcv:12917766,18,Imported from 20230728_Alma_Caa_all.xml
4224,http://lib.ugent.be/catalog/bkt01:000014029,22,Imported from 20230728_Alma_Caa_all.xml
4225,http://gateway-bayern.de/VD16+V+1824,43,Imported from 20230728_Alma_Caa_all.xml
4225,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10176165-2,23,Imported from 20230728_Alma_Caa_all.xml
4226,http://gateway-bayern.de/VD16+F+1711,43,Imported from 20230728_Alma_Caa_all.xml
4226,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10171930-2,23,Imported from 20230728_Alma_Caa_all.xml
4227,https://www.ustc.ac.uk/editions/405718,17,Imported from 20230728_Alma_Caa_all.xml
4227,http://hdl.handle.net/2027/ucm.5325300933,34,Imported from 20230728_Alma_Caa_all.xml
4228,http://data.onb.ac.at/ABO/%2BZ180337909,35,Imported from 20230728_Alma_Caa_all.xml
4228,https://www.digitale-sammlungen.de/en/view/bsb11274021,23,Imported from 20230728_Alma_Caa_all.xml
4228,https://www.ustc.ac.uk/editions/405733,17,Imported from 20230728_Alma_Caa_all.xml
4229,http://hdl.handle.net/2027/ucm.5325300915,34,Imported from 20230728_Alma_Caa_all.xml
4229,https://www.ustc.ac.uk/editions/409994,17,Imported from 20230728_Alma_Caa_all.xml
4230,http://id.sbn.it/bid/BVEE007911,26,Imported from 20230728_Alma_Caa_all.xml
4230,https://books.google.be/books?id=Wmw2ePn8zpYC,37,Imported from 20230728_Alma_Caa_all.xml
4231,http://gateway-bayern.de/VD16+L+2335,43,Imported from 20230728_Alma_Caa_all.xml
4231,http://daten.digitale-sammlungen.de/~db/0002/bsb00024557/images/,23,Imported from 20230728_Alma_Caa_all.xml
4232,http://gateway-bayern.de/VD16+W+1242,43,Imported from 20230728_Alma_Caa_all.xml
4232,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10160846-7,23,Imported from 20230728_Alma_Caa_all.xml
4233,http://gateway-bayern.de/VD16+L+4254,43,Imported from 20230728_Alma_Caa_all.xml
4233,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10204075-2,23,Imported from 20230728_Alma_Caa_all.xml
4234,http://gateway-bayern.de/VD16+B+8900,43,Imported from 20230728_Alma_Caa_all.xml
4234,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10203869-9,23,Imported from 20230728_Alma_Caa_all.xml
4235,http://id.sbn.it/bid/TO0E140423,26,Imported from 20230728_Alma_Caa_all.xml
4235,https://lib.ugent.be/catalog/bkt01:000405505,22,Imported from 20230728_Alma_Caa_all.xml
4236,https://lib.ugent.be/catalog/bkt01:000004402,22,Imported from 20230728_Alma_Caa_all.xml
4237,http://anet.be/record/stcv/stcvopac/c:stcv:12912327,18,Imported from 20230728_Alma_Caa_all.xml
4238,https://books.google.be/books?id=BcDzKawkY0EC,25,Imported from 20230728_Alma_Caa_all.xml
4239,http://anet.be/record/stcv/stcvopac/c:stcv:12913940,18,Imported from 20230728_Alma_Caa_all.xml
4239,https://www.digitale-sammlungen.de/en/view/bsb10693179,23,Imported from 20230728_Alma_Caa_all.xml
4240,http://anet.be/record/stcv/stcvopac/c:stcv:12914221,18,Imported from 20230728_Alma_Caa_all.xml
4240,https://books.google.be/books?id=nc69FZwJXIoC,33,Imported from 20230728_Alma_Caa_all.xml
4240,https://books.google.be/books?id=XhyyCyo5diwC,33,Imported from 20230728_Alma_Caa_all.xml
4242,https://lib.ugent.be/catalog/rug01:002404793,22,Imported from 20230728_Alma_Caa_all.xml
4242,https://www.ustc.ac.uk/editions/403415,17,Imported from 20230728_Alma_Caa_all.xml
4243,http://gateway-bayern.de/VD16+F+1019,43,Imported from 20230728_Alma_Caa_all.xml
4243,http://data.onb.ac.at/ABO/%2BZ156662508,35,Imported from 20230728_Alma_Caa_all.xml
4244,http://lib.ugent.be/europeana/900000159806,22,Imported from 20230728_Alma_Caa_all.xml
4244,http://lib.ugent.be/europeana/900000159807,22,Imported from 20230728_Alma_Caa_all.xml
4245,http://id.sbn.it/bid/PISE000946,26,Imported from 20230728_Alma_Caa_all.xml
4245,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10780306-9,23,Imported from 20230728_Alma_Caa_all.xml
4246,https://www.ustc.ac.uk/editions/1001509,17,Imported from 20230728_Alma_Caa_all.xml
4246,http://anet.be/record/stcv/stcvopac/c:stcv:12914426,18,Imported from 20230728_Alma_Caa_all.xml
4246,https://books.google.be/books?id=53vpd8PHabkC,33,Imported from 20230728_Alma_Caa_all.xml
4246,https://aleph.nkp.cz/F/?func=direct&doc_number=006659080&local_base=SKC,31,Imported from 20230728_Alma_Caa_all.xml
4246,https://aleph.nkp.cz/F/?func=direct&doc_number=006659082&local_base=SKC,31,Imported from 20230728_Alma_Caa_all.xml
4247,https://www.digitale-sammlungen.de/en/view/bsb10352231,23,Imported from 20230728_Alma_Caa_all.xml
4247,https://www.digitale-sammlungen.de/en/view/bsb10352232,23,Imported from 20230728_Alma_Caa_all.xml
4247,https://www.digitale-sammlungen.de/en/view/bsb10352233,23,Imported from 20230728_Alma_Caa_all.xml
4247,https://www.digitale-sammlungen.de/en/view/bsb10352234,23,Imported from 20230728_Alma_Caa_all.xml
4247,http://anet.be/record/stcv/stcvopac/c:stcv:6846899,18,Imported from 20230728_Alma_Caa_all.xml
4247,http://anet.be/record/stcv/stcvopac/c:stcv:6846904,18,Imported from 20230728_Alma_Caa_all.xml
4248,http://anet.be/record/stcv/stcvopac/c:stcv:12912927,18,Imported from 20230728_Alma_Caa_all.xml
4248,http://lib.ugent.be/europeana/900000047219,22,Imported from 20230728_Alma_Caa_all.xml
4249,http://anet.be/record/stcv/stcvopac/c:stcv:6837941,18,Imported from 20230728_Alma_Caa_all.xml
4249,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10352291-6,23,Imported from 20230728_Alma_Caa_all.xml
4249,https://www.ustc.ac.uk/editions/1004886,17,Imported from 20230728_Alma_Caa_all.xml
4250,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10352290-1,23,Imported from 20230728_Alma_Caa_all.xml
4250,http://anet.be/record/stcv/stcvopac/c:stcv:6846993,18,Imported from 20230728_Alma_Caa_all.xml
4250,https://www.ustc.ac.uk/editions/1005038,17,Imported from 20230728_Alma_Caa_all.xml
4251,http://id.sbn.it/bid/TO0E039187,26,Imported from 20230728_Alma_Caa_all.xml
4251,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10568673-6,23,Imported from 20230728_Alma_Caa_all.xml
4251,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10568674-1,23,Imported from 20230728_Alma_Caa_all.xml
4252,http://gateway-bayern.de/VD16+V+1847,43,Imported from 20230728_Alma_Caa_all.xml
4252,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10175698-0,23,Imported from 20230728_Alma_Caa_all.xml
4253,http://picarta.pica.nl/xslt/DB=3.11/XMLPRS=Y/PPN?PPN=832471534,,Imported from 20230728_Alma_Caa_all.xml
4253,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb11009705-0,23,Imported from 20230728_Alma_Caa_all.xml
4254,https://books.google.be/books?id=VvSt_TWRRTUC,29,Imported from 20230728_Alma_Caa_all.xml
4254,http://gateway-bayern.de/VD16+C+6583,43,Imported from 20230728_Alma_Caa_all.xml
4256,http://picarta.pica.nl/xslt/DB=3.11/XMLPRS=Y/PPN?PPN=053733835,,Imported from 20230728_Alma_Caa_all.xml
4256,https://books.google.be/books?id=XSmwv2vdM5YC,25,Imported from 20230728_Alma_Caa_all.xml
4258,http://picarta.pica.nl/xslt/DB=3.11/XMLPRS=Y/PPN?PPN=833696947,,Imported from 20230728_Alma_Caa_all.xml
4258,https://lib.ugent.be/catalog/rug01:001781013,22,Imported from 20230728_Alma_Caa_all.xml
4259,http://picarta.pica.nl/xslt/DB=3.11/XMLPRS=Y/PPN?PPN=833697021,,Imported from 20230728_Alma_Caa_all.xml
4259,https://lib.ugent.be/catalog/rug01:001758102,22,Imported from 20230728_Alma_Caa_all.xml
4260,https://lib.ugent.be/catalog/rug01:001754891,22,Imported from 20230728_Alma_Caa_all.xml
4260,https://anet.be/record/stcvopac/c:stcv:6934886/N,18,Imported from 20230728_Alma_Caa_all.xml
4261,https://www.digitale-sammlungen.de/en/view/bsb11060124,23,Imported from 20230728_Alma_Caa_all.xml
4261,http://anet.be/record/stcv/stcvopac/c:stcv:6627002,18,Imported from 20230728_Alma_Caa_all.xml
4262,http://anet.be/record/stcv/stcvopac/c:stcv:12912170,18,Imported from 20230728_Alma_Caa_all.xml
4263,http://anet.be/record/stcv/stcvopac/c:stcv:3114665,18,Imported from 20230728_Alma_Caa_all.xml
4263,http://data.onb.ac.at/ABO/%2BZ169798909,35,Imported from 20230728_Alma_Caa_all.xml
4264,http://lib.ugent.be/catalog/bkt01:000340731,22,Imported from 20230728_Alma_Caa_all.xml
4265,https://books.google.be/books?id=5iT2_e7BB7EC,44,Imported from 20230728_Alma_Caa_all.xml
4265,http://anet.be/record/stcv/stcvopac/c:stcv:12923253,18,Imported from 20230728_Alma_Caa_all.xml
4266,https://books.google.be/books?id=VicWJyEs3AwC,45,Imported from 20230728_Alma_Caa_all.xml
4270,http://anet.be/record/stcv/stcvopac/c:stcv:12914154,18,Imported from 20230728_Alma_Caa_all.xml
4270,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10006273-2,23,Imported from 20230728_Alma_Caa_all.xml
4271,http://lib.ugent.be/catalog/bkt01:000392604,22,Imported from 20230728_Alma_Caa_all.xml
4272,https://books.google.be/books?id=RGAWl38t_IAC,46,Imported from 20230728_Alma_Caa_all.xml
4272,https://books.google.be/books?id=D4LuNaaj3q0C,46,Imported from 20230728_Alma_Caa_all.xml
4273,https://www.ustc.ac.uk/editions/110939,17,Imported from 20230728_Alma_Caa_all.xml
