"4531","0","Biestraeten"
"4532","0","Billiau"
"4533","0","Biot"
"4534","0","Biourge"
"4535","0","Bisschop"
"4536","0","Bisschoppen"
"4537","0","Blanchar"
"4538","0","Blancke"
"4539","0","Bleron"
"4540","0","Blinckvliet"
"4541","0","Bloemarts"
"4542","0","Blommaert"
"4543","0","Blommaerts"
"4544","0","Blyan"
"4545","0","Bocout"
"4546","0","Bodart"
"4547","0","Bodel"
"4548","0","Bodson"
"4549","0","Boelen"
"4550","0","Boeracker"
"4551","0","Boerman"
"4552","0","Boesemans"
"4553","0","Boetsma"
"4554","0","Boetz"
"4555","0","Boëtz"
"4556","0","Boghaert"
"4557","8","Bolender"
"4558","0","Bolinne"
"4559","0","Bongaerts"
"4560","0","Bonnet"
"4561","0","Boomaars"
"4562","0","Boonen"
"4563","0","Booten"
"4564","0","Borlée"
"4565","0","Borluut"
"4568","0","Borrij"
"4569","0","Bosmans"
"4570","0","Bosteels"
"4571","0","Boucheau"
"4572","0","Boucqeau"
"4573","0","Boudart"
"4574","0","Bouillet"
"4575","0","Boulanger"
"4576","0","Boulart"
"4577","0","Boulengé"
"4578","0","Bouqueau"
"4579","0","Bourdon"
"4580","0","Bourgois"
"4581","0","Bourlet"
"4582","0","Boussen"
"4583","0","Bouvillon"
"4584","0","Bove"
"4585","0","Bovy"
"4586","0","Braakman"
"4587","0","Brabant"
"4588","0","Brackers"
"4589","0","Braconnier"
"4590","0","Brancart"
"4591","0","Brants"
"4592","0","Brasseur"
"4593","0","Brauwer"
"4594","0","Braye"
"4595","0","Bredart"
"4596","0","Bredo"
"4597","0","Breeckpot"
"4598","0","Brenet"
"4599","0","Brichard"
"4600","0","Briou"
"4601","0","Brismée"
"4602","0","Bronfort"
"4603","0","Brouckaert"
"4604","0","Brouwers"
"4605","0","Bruers"
"4606","0","Bruggeman"
"4607","0","Bruijnincks"
"4608","0","Bruyneel"
"4609","0","Buckholtz"
"4610","0","Buellens"
"4611","0","Bultinck"
"4612","0","Buns"
"4613","0","Buquoy"
"4614","0","Burdet"
"4615","0","Burgers"
"4616","0","Burke"
"4617","0","Busschaert"
"4619","0","Caerts"
"4620","0","Callebaut"
"4621","0","Caluwe"
