tag_001,IE PID,value,url
9992741901801488,NA,NA,NA
9993170809301488,NA,NA,NA
9993171808501488,NA,NA,NA
9993171809901488,NA,NA,NA
9993173608101488,NA,NA,NA
9993173707901488,NA,NA,NA
9993173708701488,NA,NA,NA
9993173805301488,NA,NA,NA
9993173907101488,NA,NA,NA
9993458805601488,NA,NA,NA
9993471610201488,NA,NA,NA
998150740101488,IE5016031,https://lib.is/IE5016031/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/271
998151430101488,IE9923525,NA,NA
998161350101488,IE5108288,https://lib.is/IE5108288/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/280
998296080101488,IE5007733,https://lib.is/IE5007733/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/112
998409340101488,IE5741692,https://lib.is/IE5741692/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/613
9911058340101488,IE5347184,https://lib.is/IE5347184/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/295
9914031280101488,IE5085103,https://lib.is/IE5085103/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/94
9915089830101488,IE5099049,https://lib.is/IE5099049/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/79
9918340830101488,IE5115254,https://lib.is/IE5115254/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/133
9922121260101488,IE5739534,https://lib.is/IE5739534/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/283
9922526250101488,IE9612403,https://lib.is/IE9612403/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1039
9922906810101488,IE9611362,https://lib.is/IE9611362/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1036
9922947680101488,IE5157292,https://lib.is/IE5157292/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/97
9927563330101488,IE5345610,https://lib.is/IE5345610/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/292
9932447570101488,IE5158097,https://lib.is/IE5158097/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/298
9932490870101488,IE9601411,https://lib.is/IE9601411/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1006
9937199870101488,IE5159841,https://lib.is/IE5159841/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/301
9974819880101488,IE9599695,https://lib.is/IE9599695/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1003
9977253760101488,IE4992202,https://lib.is/IE4992202/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/304
9977254090101488,IE4986271,https://lib.is/IE4986271/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/307
9977262400101488,IE4995530,https://lib.is/IE4995530/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/310
9977262940101488,IE4993619,https://lib.is/IE4993619/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/313
9977263370101488,IE4994682,https://lib.is/IE4994682/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/316
9977263640101488,IE4995145,https://lib.is/IE4995145/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/319
9977265180101488,IE4999384,https://lib.is/IE4999384/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/325
9977265700101488,IE4999967,https://lib.is/IE4999967/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/328
9977266570101488,IE5000490,https://lib.is/IE5000490/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/331
9977279820101488,IE5005367,https://lib.is/IE5005367/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/334
9977279980101488,IE4977576,https://lib.is/IE4977576/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/106
9977310530101488,IE5001517,https://lib.is/IE5001517/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/337
9977312870101488,IE5002076,https://lib.is/IE5002076/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/340
