"descriptor","place_id_fk"
"ab Eicka","2859"
"ab Ekeren","2867"
"ab Elderen","7203"
"ab Elissim","4266"
"ab Elzelia","186"
"ab Enchusia","2948"
"ab Encout","2935"
"ab Encusia","2948"
"ab Endovia","180"
"ab Erp","191"
"ab Erupema","3003"
"ab Esnu","3017"
"ab Evenstem","0"
"ab Franekara","206"
"ab Haer","2570"
"ab Haestricht","3779"
"ab Hallerstin","3823"
"ab Hannia Sancti Petri","3803"
"ab Hannuto","257"
"ab Hansdorp","3888"
"ab Hantwerpia","26"
"ab Hapert","3905"
"ab Harlem","250"
"ab Hassel","260"
"ab Hasselbrouck","3964"
"ab Hassele","260"
"ab Hasselt","260"
"ab Hattem","3972"
"ab Hecks","269"
"ab Helfort","4127"
"ab Hemert","4132"
"ab Herck","4183"
"ab Herct","4173"
"ab Herderen","4174"
"ab Herentals","277"
"ab Herentaut","278"
"ab Herenthout","278"
"ab Hochstraet","295"
"ab Hochstraten","295"
"ab Holshusen","4361"
"ab Hondiscota","4374"
"ab Horchten","4403"
"ab Horsbeck","4420"
"ab Housem","4458"
"ab Hove","300"
"ab Huesden","285"
"ab Hugardis","4318"
"ab Hulst","304"
"ab Huo","292"
"ab Ile","2902"
"ab Inckevoert","4579"
"ab Insulis","529"
"ab Insulis Liliensis","375"
"ab Ipris","306"
"ab Isca","6556"
"ab Oberstein","6275"
"ab Ochamps","6283"
"ab Ocken","6286"
"ab Oerschot","469"
"ab Oesterhoudt","5999"
"ab Oestrewyck","0"
"ab Ois","485"
"ab Olbert","8005"
"ab Oorschot","469"
"ab Oosterwijck","6397"
"ab Orschot","469"
"ab Ottelant","6503"
"ab Oudenaarde","490"
"ab Oudenburch","6519"
"ab Overijssche","730"
"ab Overwinde","6568"
"ab Overysche","730"
"ab Ulmen","8146"
"ab Wavria","678"
"ab Yerssel","8982"
"ab Ypris","2963"
"ab Ysendoren","4565"
"ab Yttere Inferiori","6083"
"Abardonensis","9096"
"Abbatia Cambronensi","2120"
"Abbatiae Bellingensis","1426"
"abbatiae Sancti Laurentii","7526"
"Abberdonensis","9096"
