264_a	n	modern_name	fm_place_id	geonames_id	wikidata_id	notes
Ingolstadii	5	Ingolstadt	4584			
Lipsiæ	5	Leipzig		2879139	Q2079	
LovanI	5	Leuven	2			
Moguntiæ	5	Mainz	5409			
Oxonii	5	Oxford	6572			Should add coordinates etc.
Romae	5	Rome	740			
Trajecti ad Rhenum	5	Utrecht	635			
[Augsburg]	5	Augsburg	1137			
t' Antwerpen	5	Antwerp	26			
t'Amsterdam	5	Amsterdam	17			
't Antwerpen	4	Antwerp	26			
A Cologne	4	Köln	737	2886242	Q365	Surprised it's not in the DB already, should check
Antvverpiæ	4	Antwerp	26			
En Anvers	4	Antwerp	26			
En Madrid	4	Madrid	5392			
Francofurti & Lipsiæ	4					Need to decide what to do with multiple
Helmestadii	4	Helmstedt		2906676	Q486562	
In Venetia	4	Venice	8273			
Ipris	4	Ypres		2795101	Q102728	
Leipzig	4	Leipzig		2879139	Q2079	
Lvgd. Batav.	4	Leiden	5004			
Madrid	4	Madrid	5392			
Marbvrgi Cattorvm	4	Marburg	5470			
Monaci	4	München	6003			
Neapoli	4	Naples	6043			
Rotomagi	4	Rouen	7150			
Te Ghendt	4	Gent	225			
Tot Leuven	4	Leuven	2			
Tot Louen	4	Leuven	2			
Tot Mechelen	4	Mechelen	409			
Vænundantur Louanij	4	Leuven	2			
[Leiden]	4	Leiden	5004			
[München]	4	München	6003			
A La Haye	3	Den Haag	115			Variant according to CERL. Need to check.
A Leide	3	Leiden	5004			
A Lovvain	3	Leuven	2			
A Lyon	3	Lyon	5364			
Aquisgrani	3	Aachen	752			
Avenione	3	Avignon		3035681	Q6397	
Brvxellae	3	Brussels	116			
Franequeræ	3	Franeker	206			
Gand	3	Gent	225			
Ghedruckt tot Antwerpen	3	Antwerp	26			
Ghedruckt tot Louen	3	Leuven	2			
Gheprint Tantwerpen	3	Antwerp	26			
Hamburgi	3	Hamburg	3844			
Impressum Antuerpie	3	Antwerp	26			
In Vinegia	3	Venice	8273			
Lemovicis	3			2998286	Q45656	CERL lists two places with this variant, also Aurillac, need to check
Leodij	3					Can't find
London	3	London	5264			Should add coordinates and geonames etc.
Lugdvni	3	Leiden	5004			
Lutetiæ	3	Paris	495			
Lutetiæ Parisiorum	3	Paris	495			
Lvgd. Batavorvm	3	Leiden	5004			
Marpurgi	3	Marburg	5470			
Mogvntiae	3	Mainz	5409			
Monachii	3	München	6003			
Montibvs	3					"Can't find - Latin for ""mountain' so could be anonymous"
Noribergæ	3	Nurnberg		6556832	Q2090	
Oxoniæ	3	Oxford	6572			
T'Hantvverpen	3	Antwerp	26			
Tantwerpen	3	Antwerp	26			
