fm_id,type
4984,printed
4985,printed
4989,printed
4990,printed
4991,printed
4992,printed
4994,printed
4995,printed
4996,printed
4997,printed
4998,printed
4999,printed
5000,printed
5001,printed
5002,printed
5003,printed
5004,printed
5005,printed
5006,printed
5007,printed
5008,printed
5009,printed
5010,printed
5011,printed
5012,printed
5013,printed
5014,printed
5015,printed
5016,printed
5017,printed
5018,printed
5019,printed
5020,printed
5021,printed
5022,printed
5023,printed
5028,printed
5029,printed
5030,printed
5031,printed
5032,printed
5033,printed
5034,printed
5035,printed
5036,printed
5037,printed
5038,printed
5039,printed
5040,printed
5041,printed
5042,printed
5043,printed
5044,printed
5045,printed
5046,printed
5047,printed
5048,printed
5049,printed
5050,printed
5051,printed
5052,printed
5054,printed
5055,printed
5056,printed
5057,printed
5058,printed
5059,printed
5060,printed
5061,printed
5062,printed
5063,printed
5064,printed
5065,printed
5066,printed
5067,printed
5068,printed
5069,printed
5070,printed
5071,printed
5072,printed
5073,printed
5074,printed
5075,printed
5078,printed
5079,printed
5080,printed
5081,printed
5082,printed
5083,printed
5084,printed
5085,printed
5086,printed
5087,printed
5088,printed
5089,printed
5090,printed
5091,printed
5092,printed
5093,printed
5094,printed
5095,printed
5096,printed
5097,printed
5098,printed
5099,printed
5100,printed
5101,printed
5102,printed
5103,printed
5104,printed
5105,printed
5106,printed
5107,printed
5108,printed
5109,printed
5110,printed
5111,printed
5112,printed
5113,printed
5114,printed
5115,printed
5116,printed
5117,printed
5118,printed
5119,printed
5120,printed
5121,printed
5122,printed
5123,printed
5124,printed
5125,printed
5126,printed
5127,printed
5128,printed
5129,printed
5130,printed
5131,printed
5132,printed
5133,printed
5134,printed
5135,printed
5136,printed
5137,printed
5138,printed
5139,printed
5140,printed
5141,printed
5142,printed
5143,printed
5144,printed
5145,printed
5146,printed
5147,printed
5148,printed
5149,printed
5150,printed
5151,printed
5153,printed
5154,printed
5156,printed
5157,printed
5158,printed
5159,printed
5160,printed
5161,printed
5162,printed
5163,printed
5164,printed
5165,printed
5166,printed
5167,printed
5168,printed
5170,printed
5171,printed
5172,printed
5173,printed
5174,printed
5175,printed
5176,printed
5177,printed
5178,printed
5179,printed
5180,printed
5181,printed
5182,printed
5183,printed
5184,printed
5185,printed
5186,printed
5187,printed
5188,printed
5189,printed
5190,printed
5191,printed
5192,printed
5193,printed
5194,printed
5195,printed
5198,printed
5199,printed
5200,printed
5201,printed
5202,printed
5203,printed
5204,printed
5206,printed
5207,printed
5208,printed
5209,printed
5210,printed
5211,printed
5212,printed
5213,printed
5214,printed
5216,printed
5217,printed
5218,printed
5220,printed
5221,printed
5222,printed
5223,printed
5224,printed
5225,printed
5226,printed
5227,printed
5228,printed
5229,printed
5230,printed
5231,printed
5232,printed
5233,printed
5234,printed
5235,printed
5236,printed
5237,printed
5238,printed
5240,printed
5241,printed
5243,printed
5244,printed
5245,printed
5246,printed
5247,printed
5248,printed
5249,printed
5250,printed
5251,printed
5252,printed
5253,printed
5254,printed
5255,printed
5256,printed
5257,printed
5258,printed
5259,printed
5260,printed
5261,printed
5262,printed
5264,printed
5266,printed
5267,printed
5268,printed
5269,printed
5270,printed
5271,printed
5272,printed
5273,printed
5274,printed
5275,printed
5276,printed
5277,printed
5278,printed
5280,printed
5281,printed
5282,printed
5283,printed
5284,printed
5285,printed
5286,printed
5287,printed
5288,printed
5290,printed
5291,printed
5292,printed
5293,printed
5294,printed
5295,printed
5296,printed
5297,printed
5298,printed
5299,printed
5300,printed
5301,printed
5302,printed
5303,printed
5304,printed
5305,printed
5306,printed
5307,printed
5308,printed
5309,printed
5310,printed
5311,printed
5312,printed
5313,printed
5314,printed
5315,printed
5316,printed
5317,printed
5318,printed
5319,printed
5320,printed
5322,printed
5323,printed
5324,printed
5325,printed
5326,printed
5328,printed
5329,printed
5330,printed
5331,printed
5332,printed
5333,printed
5334,printed
5335,printed
5337,printed
5338,printed
5339,printed
5340,printed
5341,printed
5342,printed
5343,printed
5344,printed
5345,printed
5346,printed
5347,printed
5349,printed
5350,printed
5351,printed
5352,printed
5353,printed
5354,printed
5355,printed
5356,printed
5357,printed
5358,printed
5359,printed
5360,printed
5361,printed
5362,printed
5363,printed
5364,printed
5365,printed
5366,printed
5367,printed
5368,printed
5369,printed
5370,printed
5371,printed
5372,printed
5373,printed
5374,printed
5375,printed
5376,printed
5377,printed
5379,printed
5380,printed
5381,printed
5382,printed
5383,printed
5384,printed
5385,printed
5386,printed
5387,printed
5388,printed
5389,printed
5390,printed
5394,printed
5395,printed
5396,printed
5397,printed
5398,printed
5399,printed
5400,printed
5401,printed
5403,printed
5404,printed
5405,printed
5406,printed
5407,printed
5409,printed
5410,printed
5411,printed
5412,printed
5413,printed
5414,printed
5416,printed
5417,printed
5418,printed
5419,printed
5420,printed
5421,printed
5422,printed
5423,printed
5424,printed
5425,printed
5426,printed
5427,printed
5428,printed
5429,printed
5430,printed
5431,printed
5433,printed
5434,printed
5435,printed
5436,printed
5437,printed
5439,printed
5440,printed
5442,printed
5443,printed
5444,printed
5445,printed
5446,printed
5447,printed
5448,printed
5449,printed
5450,printed
5451,printed
5453,printed
5454,printed
5455,printed
5456,printed
5457,printed
5458,printed
5459,printed
5460,printed
5461,printed
5462,printed
5463,printed
5465,printed
5466,printed
5467,printed
5468,printed
5469,printed
5470,printed
5471,printed
5472,printed
5473,printed
5475,printed
5476,printed
5477,printed
5478,printed
5479,printed
5481,printed
5482,printed
5483,printed
5484,printed
5485,printed
5486,printed
5487,printed
5488,printed
5489,printed
5490,printed
5491,printed
5492,printed
5493,printed
5494,printed
5495,printed
5496,printed
5497,printed
5498,printed
5499,printed
5500,printed
5501,printed
5502,printed
5503,printed
5504,printed
5505,printed
5506,printed
5507,printed
5508,printed
5509,printed
5513,printed
5514,printed
5515,printed
5526,printed
5527,printed
5528,printed
5529,printed
5543,printed
5544,printed
5545,printed
5546,printed
5547,printed
5548,printed
5549,printed
5550,printed
5551,printed
5552,printed
5553,printed
5554,printed
5555,printed
5556,printed
5557,printed
5558,printed
5559,printed
5560,printed
5561,printed
5562,printed
5563,printed
5564,printed
5565,printed
5566,printed
5567,printed
5568,printed
5569,printed
5570,printed
5571,printed
5572,printed
5573,printed
5574,printed
5575,printed
5576,printed
5577,printed
5578,printed
5579,printed
5580,printed
5581,printed
5582,printed
5583,printed
5584,printed
5585,printed
5586,printed
5587,printed
5588,printed
5589,printed
5590,printed
5591,printed
5592,printed
5593,printed
5594,printed
5596,printed
5597,printed
5599,printed
5600,printed
5602,printed
5603,printed
5604,printed
5605,printed
5606,printed
5607,printed
5608,printed
5609,printed
5610,printed
5611,printed
5613,printed
5614,printed
5615,printed
5616,printed
5617,printed
5618,printed
5619,printed
5620,printed
5621,printed
5622,printed
5623,printed
5624,printed
5625,printed
5626,printed
5627,printed
5628,printed
5629,printed
5630,printed
5631,printed
5632,printed
5633,printed
5634,printed
5635,printed
5636,printed
5638,printed
5639,printed
5640,printed
5641,printed
5642,printed
5643,printed
5644,printed
5645,printed
5646,printed
5647,printed
5648,printed
5649,printed
5650,printed
5651,printed
5652,printed
5653,printed
5654,printed
5655,printed
5656,printed
5657,printed
5658,printed
5659,printed
5660,printed
5661,printed
5662,printed
5663,printed
5664,printed
5665,printed
5666,printed
5667,printed
5668,printed
5669,printed
5670,printed
5671,printed
5672,printed
5673,printed
5675,printed
5677,printed
5678,printed
5679,printed
5680,printed
5681,printed
5682,printed
5683,printed
5684,printed
5685,printed
5686,printed
5687,printed
5688,printed
5689,printed
5690,printed
5691,printed
5692,printed
5693,printed
5694,printed
5695,printed
5696,printed
5698,printed
5699,printed
5700,printed
5701,printed
5702,printed
5703,printed
5704,printed
5705,printed
5706,printed
5707,printed
5708,printed
5709,printed
5710,printed
5711,printed
5712,printed
5713,printed
5714,printed
5715,printed
5716,printed
5718,printed
5719,printed
5720,printed
5722,printed
5723,printed
5724,printed
5725,printed
5726,printed
5727,printed
5728,printed
5729,printed
5730,printed
5731,printed
5732,printed
5733,printed
5734,printed
5735,printed
5736,printed
5737,printed
5738,printed
5739,printed
5740,printed
5741,printed
5742,printed
5744,printed
5745,printed
5746,printed
5747,printed
5748,printed
5749,printed
5750,printed
5751,printed
5752,printed
5753,printed
5754,printed
5755,printed
5756,printed
5757,printed
5758,printed
5759,printed
5760,printed
5761,printed
5762,printed
5763,printed
5764,printed
5765,printed
5766,printed
5767,printed
5768,printed
5769,printed
5770,printed
5771,printed
5772,printed
5773,printed
5774,printed
5775,printed
5776,printed
5777,printed
5778,printed
5779,printed
5780,printed
5781,printed
5782,printed
5783,printed
5784,printed
5785,printed
5786,printed
5787,printed
5788,printed
5789,printed
