"RecordID";"name";"role"
"993619550101488";"de Wael, Theodorus";"contributor"
"993621680101488";"De Hondt, Abraham";"auctioneer"
"993621680101488";"Lipsius, Justus";"other"
"993621680101488";"Mansart, François";"collection from"
"993621680101488";"Petau, Alexandre";"collection from"
"993622620101488";"Gudelinus, Petrus";"author"
"993622620101488";"Nempe, Hieronymus.";"contributor"
"993622620101488";"Zoesius, Henricus";"author"
"993623730101488";"Rosemondt, Godschalc";"editor"
"993685210101488";"Andreas, Valerius";"annotator"
"993685210101488";"Sadeler, Raphael";"illustrator"
"993685260101488";"Gellius, Aulus.";"contributor"
"993685510101488";"Alciatus, Andreas";"contributor"
"993685510101488";"Florus, Lucius Annaeus.";"contributor"
"993685510101488";"Seneca, Lucius Annaeus";"contributor"
"993685650101488";"Ferdinand";"dedicatee"
"993685650101488";"Galle, Cornelius";"illustrator"
"993685650101488";"van Loon, Theodoor";"illustrator"
"993685810101488";"Isabella Clara Eugenia";"dedicatee"
"993685810101488";"Puteanus, Erycius";"editor"
"993685810101488";"Caffarelli-Borghese, Scipione";"dedicatee"
"993685980101488";"Richardot, Jean";"dedicatee"
"993685980101488";"Collemius, Balthasar";"eulogist"
"993689140101488";"Puteanus, Erycius";"author"
"993689140101488";"Capra, Galeazzo Flavio";"author"
"993689140101488";"Bassano, Cesare";"engraver"
"993709980101488";"Barlandus, Adrianus";"contributor"
"993709980101488";"Beccadelli, Antonio";"contributor"
"993709980101488";"Leonhart, Sebastian";"translator"
"993710330101488";"Barlandus, Adrianus";"contributor"
"993710330101488";"Leonhart, Sebastian";"translator"
"993710610101488";"Barlandus, Adrianus";"editor"
"993711010101488";"Barlandus, Adrianus";"translator"
"993711010101488";"Campanus, Joannes Antonius";"contributor"
"993711010101488";"Crinito, Pietro";"contributor"
"993711010101488";"Erasmus Roterodamus, Desiderius";"contributor"
"993711010101488";"Gellius, Aulus";"contributor"
"993711010101488";"Gerbel, Nikolaus";"contributor"
"993711010101488";"Guilelmus de Gouda";"contributor"
"993711010101488";"Maximus Planudes";"contributor"
"993711010101488";"Plinius Caecilius Secundus, Gaius";"contributor"
"993711010101488";"Poliziano, Angelo";"contributor"
"993711790101488";"Dorpius, Martinus";"author"
"993711790101488";"Erasmus Roterodamus, Desiderius";"author"
"993711790101488";"Holbein, Hans";"engraver"
"993716800101488";"Barlandus, Adrianus";"contributor"
"993716800101488";"Celtis, Conradus";"contributor"
"993716800101488";"Erasmus Roterodamus, Desiderius";"contributor"
"993716800101488";"Hegendorff, Christoph";"contributor"
"993725400101488";"Carrion, Ludovicus.";"author"
"993725400101488";"Florus, Lucius Annaeus.";"author"
"993725400101488";"Stadius, Joannes";"editor"
"993725400101488";"van Leeuwen, Albert";"author"
"993725560101488";"a Melodunus, Carolus";"dedicatee"
"993725560101488";"a Vuerchinius, Petrus";"dedicatee"
"993725560101488";"a Melodunus, Robertus";"dedicatee"
"993726270101488";"Junctinus, Franciscus";"editor"
"993726360101488";"Apianus, Petrus";"other"
"993726360101488";"Pires, Diogo";"contributor"
"993727210101488";"Hopfer, Daniel";"illustrator"
"993801690101488";"Lipsius, Justus";"contributor"
"993801690101488";"de Robiano, Balthazar";"dedicatee"
"993801690101488";"Guillimanus, Franciscus";"eulogist"
"993801690101488";"Lummenaeus a Marca, Jacobus Cornelius";"contributor"
"993801690101488";"Saccus, Joannes Baptista";"contributor"
"9917286910101488";"Vander Noot, Maximilianus Antonius";"dedicatee"
"9917340140101488";"Chifflet, Jean";"contributor"
"9917340140101488";"Chifflet, Philippe";"dedicatee"
"9917340140101488";"Dandelot, Ferdinandus";"dedicatee"
"9917340140101488";"Sanderus, Antonius";"eulogist"
"9917340140101488";"Boyvin, Joannes";"eulogist"
"9917340140101488";"Puteanus, Justus Caecilius";"eulogist"
"9917340140101488";"Wendelinus, Gottefridus";"contributor"
"9917340400101488";"Dandelot, Ferdinandus";"dedicatee"
"9917477210101488";"Chauvin, Victor";"author"
"9917477210101488";"Roersch, Alphonse";"author"
"9917477210101488";"Clenardus, Nicolaus";"author"
"9917509320101488";"Julianus, Flavius Claudius";"contributor"
"9917556750101488";"Dupont, Jacques";"narrator"
"9917722280101488";"de Marka, Erhardus";"dedicatee"
"9917722280101488";"Musius, Cornelius";"eulogist"
"9917762070101488";"Puteanus, Erycius";"other"
"9917762070101488";"Turrianus, Franciscus";"editor"
"9917763840101488";"Alessandri, Alessandro";"other"
"9917763840101488";"Béraud, Nicolas";"dedicatee"
"9917763840101488";"Filelfo, Francesco";"author"
"9917763840101488";"Justinianus, Leonardus";"other"
"9917763840101488";"Vives, Juan Luis";"author"
"9917808120101488";"de Goesin, Pierre François";"auctioneer"
"9917808120101488";"Van de Velde, Jan Frans";"collection from"
"9917830370101488";"Lipsius, Justus";"contributor"
"9917830370101488";"Noel, François";"compiler"
"9917866700101488";"De Zuñiga, Baltasar";"dedicatee"
"9917866700101488";"Vacquerius, Antonius";"eulogist"
"9917866700101488";"Fabricius, Gulielmus";"approbation"
"9917867840101488";"Rudolf";"approbation"
"9917867840101488";"Felipe";"approbation"
"9917867840101488";"Henri";"approbation"
"9917867840101488";"Albrecht";"approbation"
"9917867840101488";"Isabella Clara Eugenia";"approbation"
"9917867840101488";"Burgius, Thomas";"dedicatee"
"9917867840101488";"Wortzel, Cornelius";"approbation"
"9917867840101488";"Van Drenckwaert, Jan";"dedicatee"
"9917867840101488";"Fabricius, Gulielmus";"approbation"
"9917867840101488";"Kurtz von Senftenau, Jakob";"approbation"
"9917867840101488";"Barwitz, Johann Anton";"approbation"
"9917867840101488";"Verreycken";"approbation"
"9917867840101488";"Perrochel";"approbation"
"9917867840101488";"de Busschere, I.";"approbation"
"9917867840101488";"de Grimaldi, S.";"approbation"
"9917867840101488";"Zamoyski, Jan";"dedicatee"
"9917867840101488";"Oudaert, Nicolaus";"writer of preface"
"9917867840101488";"Wargnier, Guillaume";"writer of preface"
"9917867840101488";"Van den Wouwer, Jan";"writer of preface"
"9917867840101488";"Beyerlinck, Laurentius";"approbation"
"9917888570101488";"Hennebel, Joannes Libertus";"other"
"9917929630101488";"Joseph";"contributor"
"9917986360101488";"Żółkiewski, Iwan";"dedicatee"
"9917986650101488";"de Bourgogne, Herman";"dedicatee"
"9918047040101488";"Morsius, Joachim";"editor"
"9918059180101488";"Rigault, Nicolas";"other"
"9918059180101488";"Lipsius, Justus";"author"
"9918059180101488";"Cunaeus, Petrus";"author"
"9918059180101488";"Julianus, Flavius Claudius";"author"
"9918063940101488";"de Grouchy, Nicolas";"translator"
"9918063940101488";"Périon, Joachim";"translator"
"9918064690101488";"Périon, Joachim";"translator"
"9918065230101488";"Périon, Joachim";"translator"
"9918065360101488";"Périon, Joachim";"translator"
"9918066570101488";"Périon, Joachim";"translator"
"9918112670101488";"Courtois, Gamaliel";"dedicatee"
"9918112670101488";"de Croix, Antonius";"dedicatee"
