"descriptor","Place_ID","place_standard"
"Hamontanus","256","Hamont"
"Hamontensis","256","Hamont"
"Hampsin","3860","Hampsin"
"Hampsuranus","3861","Hampsuranus"
"Hamptiaux","3859","Hamoteau"
"Hamptieaux","3859","Hamoteau"
"Hamptraux","3859","Hamoteau"
"Hamsereur","3838","Ham-sur-Heure"
"Hamsreux","3838","Ham-sur-Heure"
"Hamstede","3776","Haamstede"
"Hamstedenius","3776","Haamstede"
"Hamstel","930","Amstel"
"Hamsuranus","3838","Ham-sur-Heure"
"Hamsurensis","3838","Ham-sur-Heure"
"Hamsuriensis","3838","Ham-sur-Heure"
"Hamsurranus","3838","Ham-sur-Heure"
"Hamsvordiensis","916","Amersfoort"
"Hamtiaux","3859","Hamoteau"
"Hamudensis","256","Hamont"
"Hamuerensis","3863","Hamuerensis"
"Han","3864","Han"
"Han ad Sombin","3839","Ham-sur-Somme"
"Han sur Lesse","3865","Han-sur-Lesse"
"Hanaton","0",""
"Hanay","3866","Hanay"
"Hanbrenne","3867","Hanbrenne"
"Handanensis","18","Andenne"
"Handorensis","3868","Handorensis"
"Handsaeme","3870","Handzame"
"Handsaene","3870","Handzame"
"Handtzaeme","3870","Handzame"
"Handwerpiensis","26","Antwerp"
"Haneffe","3871","Haneffe"
"Hanefiensis","3871","Haneffe"
"Hanen","3872","Hanen"
"Hanesdonck","3778","Haasdonk"
"Hanesse","3873","Hanesse"
"Hanessiensis","3874","Hanessiensis"
"Hanexst","3875","Hanexst"
"Hangensis","175","Enghien"
"Hangiensis","175","Enghien"
"Haniutensis","257","Hannuit"
"Hanneciensis","22","Annecy"
"Hanneffe","3871","Haneffe"
"Hanneffiensis","3871","Haneffe"
"Hannehavesnensis","1169","Avesnes"
"Hanneshacensis","3877","Hanneshacensis"
"Hannesiensis","3876","Hannêche"
"Hannia Sancti Pauli","3802","Haine-Saint-Paul"
"Hannia Sancti Petri","3803","Haine-Saint-Pierre"
"Hannia Sti Petri","3803","Haine-Saint-Pierre"
"Hannilessius","3865","Han-sur-Lesse"
"Hanno","3878","Hanno"
"Hanno Bellomantanus","46","Beaumont"
"Hanno Beverensis","69","Bever"
"Hanno Havesnensis","1169","Avesnes"
"Hanno Matisconensis","0",""
"Hanno Montanus","61","Mons"
"Hanno Montensis","61","Mons"
"Hanno Rhodianus","353","Le Rœulx"
"Hanno Rodiensis","353","Le Rœulx"
"Hanno-Avesnenesis","3879","Hanno-Avesnenesis"
"Hanno-Binchiensis","77","Binche"
"Hanno-Lutosanus","367","Leuze"
"Hanno-Mantanus","61","Mons"
"Hanno-Montanus","61","Mons"
"Hanno-Montensis","61","Mons"
"Hanno-Rhodanus","353","Le Rœulx"
"Hanno-Rhodius","353","Le Rœulx"
"Hannobricensis","3881","Hannover"
"Hannoij","3882","Hannoy"
"Hannomintanus","61","Mons"
"Hannomont","0",""
"Hannomontanus","61","Mons"
"Hannomontensis","61","Mons"
"Hannonervius","257","Hannuit"
"Hannonia","4144","Henegouwen"
"Hannoniae","4144","Henegouwen"
"Hannonie","4144","Henegouwen"
"Hannoniensis","4144","Henegouwen"
"Hannonius","4144","Henegouwen"
"Hannorodianus","353","Le Rœulx"
"Hannotongrensis","3880","Hannotongrensis"
"Hannoveranus","3881","Hannover"
"Hannovranus","3881","Hannover"
"Hannuensis","257","Hannuit"
"Hannuonensis","3883","Hannuonensis"
"Hannutanus","257","Hannuit"
"Hannutensis","257","Hannuit"
"Hannuyers","3884","Hannuyers"
"Hanonie","4144","Henegouwen"
"Hanoniensis","4144","Henegouwen"
"Hanoo-Mantanus","61","Mons"
"Hanoriensis","3885","Hanoriensis"
"Hanoveranus","3881","Hannover"
"Hanret","3886","Hanret"
"Hans","3865","Han-sur-Lesse"
"Hansbeke","3887","Hansbeke"
"Hansenel","3903","Hanzinelle"
"Hansenne","3889","Hansenne"
"Hansereul","24","Anseroeul"
"Hansereur","3838","Ham-sur-Heure"
"Hansereus","3838","Ham-sur-Heure"
"Hansereux","3838","Ham-sur-Heure"
"Hanserult","24","Anseroeul"
"Hanseureur","3838","Ham-sur-Heure"
"Hanseureuze","3838","Ham-sur-Heure"
"Hansez","3890","Hansez"
"Hansilitensis","3891","Hansilitensis"
"Hansinelle","3903","Hanzinelle"
"Hansiniensis","3904","Hanzinne"
"Hansinne","3903","Hanzinelle"
"Hansitensis","3892","Hansitensis"
"Hansuensis","3893","Hansuensis"
"Hansuranus","3838","Ham-sur-Heure"
"Hansurensensis","3894","Hansurensensis"
"Hansurensis","3895","Hansurensis"
"Hansureur","3838","Ham-sur-Heure"
"Hansureux","3838","Ham-sur-Heure"
"Hansurheur","3838","Ham-sur-Heure"
"Hansuriensis","3896","Hansuriensis"
"Hansurliensis","3865","Han-sur-Lesse"
"Hansvicensis","3897","Hansvicensis"
"Hanter Lette","0",""
"Hantes","3900","Hantes-Wihéries"
"Hantespinne","3987","Haultepenne"
"Hantsaeme","3870","Handzame"
"Hantwerpiensis","26","Antwerp"
"Hanuiensis","3901","Hanuiensis"
"Hanulin","3902","Hanulin"
"Hanutensis","257","Hannuit"
"Hanxurensis","3865","Han-sur-Lesse"
"Hanzereuse","0",""
"Hapartanus","4963","Le Happart"
"Hapartensis","4963","Le Happart"
"Hapert","3905","Happart"
"Happenie","274","Heppignies"
"Harbeux","3907","Harbeux"
"Harcensis","3909","Harcensis"
"Harchiensis","3910","Harchies"
"Harchies","3910","Harchies"
"Harchij","3910","Harchies"
"Harcourt","3911","Harcourt"
"Harcurianus","3912","Harcurianus"
"Hardefordt","3916","Hardifort"
"Hardemas","3913","Hardemas"
"Hardervicensis","3915","Harderwijk"
"Harderwicanus","3915","Harderwijk"
"Harderwicensis","3915","Harderwijk"
"Harderwijc","3915","Harderwijk"
"Harderwijck","3915","Harderwijk"
"Harderwyck","3915","Harderwijk"
"Hardewyck","3915","Harderwijk"
"Hardoije","1029","Ardooie"
"Hardoijensis","1029","Ardooie"
"Hardoy","1029","Ardooie"
"Hardoyensis","1029","Ardooie"
"Hardrincensis","3918","Hardrincensis"
"Harelemensis","3919","Harelemensis"
"Haren","3920","Haren"
"Harennensis","3920","Haren"
"Harensis","3920","Haren"
"Harent","276","Herent"
"Harentalensis","277","Herentals"
"Haret","3922","Haret"
"Hargemont","3923","Hargimont"
"Hargnies","3924","Hargnies"
"Harinchuysa","0",""
"Harines","3942","Harnes"
"Harinsart","3926","Harinsart"
"Harlamensis","250","Haarlem"
"Harlange","3927","Harlange"
"Harlebacensis","258","Harelbeke"
"Harlebecanus","258","Harelbeke"
"Harlebecensis","258","Harelbeke"
"Harlebeeck","258","Harelbeke"
"Harlebekanus","258","Harelbeke"
"Harlebeque","258","Harelbeke"
"Harlee","3928","Harlee"
"Harlem","250","Haarlem"
"Harlemenses","0",""
"Harlemensis","250","Haarlem"
"Harlemiensis","250","Haarlem"
"Harlemius","250","Haarlem"
"Harlemmensis","250","Haarlem"
"Harlemus","3931","Harlemus"
"Harlensis","250","Haarlem"
"Harleux","1049","Arleux"
"Harliengiensis","3933","Harlingen"
"Harliensis","3932","Harliensis"
"Harlingensis","3933","Harlingen"
"Harlinghe","3933","Harlingen"
"Harluensis","3935","Harlue"
"Harmaliensis","3936","Harmaliensis"
"Harmeignies","3940","Harmignies"
"Harmeliensis","3937","Harmelen"
"Harmenensis","3938","Harmenensis"
"Harmeniensis","3940","Harmignies"
"Harmensis","3939","Harmensis"
"Harmignies","3940","Harmignies"
"Harminiensis","3940","Harmignies"
"Harnemiensis","28","Arnhem"
"Harnemius","3941","Harnemius"
"Harnensis","3942","Harnes"
"Haro","3943","Haro"
"Harre","3944","Harre"
"Harré","3944","Harre"
"Harselaer","3945","Harselaar"
"Harselensis","765","Aarsele of Hasselt check"
"Harsensis","3953","Harz"
"Harserensis","3946","Harserensis"
"Harsuranus","3947","Harsuranus"
"Hartbecanus","3948","Hartbecanus"
"Hartfordiensis","3949","Hartford"
"Hartogenraet","4227","Hertzogenrath of 's-Hertogenrade check"
"Harve","0",""
"Harveng","3950","Harveng"
"Harvengh","3950","Harveng"
"Harviensis","3951","Harviensis"
"Harze","3954","Harzé"
"Hasbanus","3955","Hasbanus"
"Hasbrokanus","265","Hazebrouck"
"Hasbroucanus","265","Hazebrouck"
"Hasbrouckanus","265","Hazebrouck"
"Hasbroukanus","265","Hazebrouck"
"Hascotensis","3956","Hascotensis"
"Hasdoncanus","3778","Haasdonk"
"Hasdonck","3778","Haasdonk"
"Hasdonckanus","3778","Haasdonk"
"Hasebrocanus","265","Hazebrouck"
"Hasebroeckanus","265","Hazebrouck"
"Hasebroucanus","265","Hazebrouck"
"Haseluensis","3957","Haselünne"
"Haserij","3959","Haserich"
"Haskensis","3960","Hasken-Berg, Duitsland of Hasselt check"
"Haslensis","260","Hasselt"
"Hasletensis","260","Hasselt"
"Hasleto-Leodius","259","Hasleto-Leodius"
"Haslindore","3961","Haslindore"
"Hasniensis","3962","Hasniensis"
"Haspertensis","1091","Asper"
"Hassalensis","260","Hasselt"
"Hassebrouck","265","Hazebrouck"
"Hasselbroeck","3964","Hasselbroek"
"Hasselbroeckensis","3964","Hasselbroek"
"Hasselbrouck","3964","Hasselbroek"
"Hasselbrouckanus","3964","Hasselbroek"
"Hasselbrough","3964","Hasselbroek"
"Hasselebrouck","3964","Hasselbroek"
"Hasselebrouckensis","3964","Hasselbroek"
"Hasseleneis","260","Hasselt"
"Hasselens","260","Hasselt"
"Hasselensis","260","Hasselt"
"Hasseletanus","260","Hasselt"
"Hasseletensis","260","Hasselt"
"Hassellensis","260","Hasselt"
"Hasselt","260","Hasselt"
"Hasseltbroek","3965","Hasselt-ten-Broek"
"Hasseltensis","260","Hasselt"
"Hasselunensis","3966","Hasselunensis"
"Hassia","4240","Hessen"
"Hassiliensis","260","Hasselt"
"Hasten","1104","Asten"
"Hastenensis","3967","Haste"
"Hasteniensis","32","Astene"
"Hastensis","32","Astene"
"Hasteriensis","3971","Hastière-Lavaux"
"Hasterloos","3968","Hasterloos"
"Hasternensis","3969","Hasternensis"
"Hastier","3970","Hastière"
"Hastiere","3970","Hastière"
"Hastiriensis","3971","Hastière-Lavaux"
"Hatgnies","486","Ottignies"
"Hattensis","3973","Hatten"
"Hattoniensis","3974","Hattoniensis"
"Haubourdin","3975","Haubourdin"
"Haubourdinensis","3908","Harbodem"
"Hauce","3976","Hauce"
"Hauchain","3983","Haulchin"
"Haudanus","3977","Haudanus"
"Haudez Goegnies","299","Houdeng-Gœgnies"
"Haudimont","3978","Haudiomont"
"Hauetgaert","6541","Outgaarden"
"Hauffay","3979","Hauffay"
"Haugemius","3980","Haugemius"
"Haulaigensis","3981","Haulaigensis"
"Haulaudiensis","3982","Haulaudiensis"
"Haulchain","3983","Haulchin"
"Haulchin","3983","Haulchin"
"Haulciensis","3983","Haulchin"
"Hauleniensis","3984","Haule"
"Haulliau","3985","Haulliau"
"Haultaniensis","3986","Haultaniensis"
"Haultenleval","4463","Houtain-le-Val"
"Hauret","3988","Hauret"
"Hausbeke","3887","Hansbeke"
"Hausdonck","3778","Haasdonk"
"Hausefleppe","6435","Opvelp"
"Hauseneur","3989","Hausen"
"Hausenne","3990","Hausenne"
"Hausin","3989","Hausen"
"Hausinensis","3991","Hausinensis"
"Hausingen","3992","Hausingen"
"Haussin","3904","Hanzinne"
"Haussinne","3904","Hanzinne"
"Hausuriensis","3993","Hausuriensis"
"Haut Charage","3999","Hautcharage"
"Haut Ittre","3995","Haut-Ittre"
"Hautaine le Val","4463","Houtain-le-Val"
"Haute","3900","Hantes-Wihéries"
"Hautelen","4000","Hautelen"
"Hautem","4465","Houtem"
"Hautem Sanctae Catharinae","7516","Sint-Katelijne-Houtem"
"Hautem Sanctae Margaritae","568","Sint-Margriete-Houtem"
"Hautem Sancti Livini","7528","Sint-Lieven-Houtem"
"Hautensis","4466","Houten"
"Hautfleppe","6435","Opvelp"
"Hauthalen","4469","Houthalen"
"Hauthalensis","4469","Houthalen"
"Hauthen Episcopi","668","Walshoutem"
"Hautheren","262","Hautheren"
"Hautheverle","6509","Oud-Heverlee"
"Hautlervanstaiu","3996","Haut-le-Wastia"
"Hautour","4002","Hautour"
"Hautsaijs","3994","Haut-Fays"
"Hautum","4465","Houtem"
"Hauurianus","4004","Hauurianus"
"Hauwardensis","4477","Houwaart"
"Hauzine","4513","Huizingen"
"Havaij","263","Havay"
"Havay","263","Havay"
"Haveclant","4006","Havelange"
"Havedrosianus","8094","Trondheim"
"Havee","4005","Havee"
"Havelange","4006","Havelange"
"Havelanghe","4006","Havelange"
"Havelangius","4006","Havelange"
"Havelinge","4006","Havelange"
"Haven","4007","Haven"
"Havenne","4008","Havenne"
"Havenrenus","4009","Havenrenus"
"Havensensis","4010","Havensensis"
"Haverettensis","4012","Haverettensis"
"Haverianus","4013","Haverianus"
"Haverloiensis","4014","Haverloiensis"
"Havernij","4015","Havernij"
"Haversain","4016","Haversin"
"Haversains","4016","Haversin"
"Haverseain","4016","Haversin"
"Haversoim","4017","Haversoim"
"Havetio","0",""
"Havines","264","Havinnes"
"Haviniensis","264","Havinnes"
"Havinnes","264","Havinnes"
"Havisime","4018","Havisime"
"Havre","4019","Havré"
"Havré","4019","Havré"
"Havrech","4019","Havré"
"Havree","4019","Havré"
"Havret","4020","Havret"
"Havretanus","4021","Havretanus"
"Havretensis","4022","Havretensis"
"Havreus","4019","Havré"
"Havrez","4019","Havré"
"Havriensis","4019","Havré"
"Hawans","4023","Hawans"
"Hawart","4024","Hawart"
"Hawinne","4025","Hawinne"
"Haybez","4026","Haybes"
"Haynutensis","257","Hannuit"
"Hazebrocanus","265","Hazebrouck"
"Hazebroecanus","265","Hazebrouck"
"Hazebroucanus","265","Hazebrouck"
"Hazelbrocanus","265","Hazebrouck"
"Hazenbrouckius","265","Hazebrouck"
"Heallensis deiparae","252","Halle"
"Hebbenin","4027","Hebbenin"
"Hebensis","4028","Hebensis"
"Hebernus","4029","Hebernus"
"Hebriensis","4031","Hebriensis"
"Heburacensis","4032","Heburacensis"
"Hechtel","4033","Hechtel"
"Hechtelensis","4033","Hechtel"
"Hechtensis","4035","Hechtensis"
"Hechter","4033","Hechtel"
"Hechttelensis","4033","Hechtel"
"Heck","4036","Heck"
"Heckensis","4037","Heckensis"
"Hecks","4036","Heck"
"Hecsent","4038","Hecsent"
"Hectelensis","4033","Hechtel"
"Hedegiensis","4039","Hedegiensis"
"Hedel","4040","Hedel"
"Hedenche","4041","Hédenge"
"Hedenge","4041","Hédenge"
"Hedickhuysen","4042","Hedikhuizen"
"Hedin","4232","Hesdin"
"Hedinensis","4043","Hedinensis"
"Hedingensis","175","Enghien"
"Hedinghen","4044","Hedinghen"
"Hediniensis","4045","Hediniensis"
"Heechemeensis","4046","Heechemeensis"
"Heeckloo","176","Eeklo"
"Heeff","4048","Heeg"
"Heekensis","4049","Heek"
"Heelensis","4050","Heel"
"Heemvliet","4052","Heenvliet"
"Heenshoud","4157","Henshout"
"Heer","4053","Heer"
"Heerdensis","4054","Heerde"
"Heerderen","4174","Herderen"
"Heerderensis","4055","Heerderensis"
"Heeren","4056","Heere"
"Heeren Elderen","7203","'s Herenelderen"
"Heerendalensis","277","Herentals"
"Heerenthaudt","278","Herenthout"
"Heerenveen","4057","Heerenveen"
"Heerius","4053","Heer"
"Heerlincxhove","4188","Herlinkhove"
"Heernen","4059","Heerlen"
"Heers","4060","Heers"
"Heers Castri","4060","Heers"
"Heerseel","4061","Heerseel"
"Hees","4062","Hees"
"Heescht","4063","Heesch"
"Heese","4062","Hees"
"Heest","4064","Heest"
"Heestensis","4065","Heesten"
"Heestert","4066","Heestert"
"Heesvuicanus","4067","Heeswijk"
"Heeswicanus","4067","Heeswijk"
"Heeswijcanus","4067","Heeswijk"
"Heeswycanus","4067","Heeswijk"
"Heetkercke","5614","Meetkerke"
"Heevriensis","4261","Hever"
"Heeze","4068","Heeze"
"Heeziele","4229","Herzele"
"Heezvekanus","4067","Heeswijk"
"Heezvuiccanus","4067","Heeswijk"
"Hefelingensis","4179","Herfelingen"
"Heffen","4069","Heffen"
"Heffendiensis","4069","Heffen"
"Hegoviensis","4070","Hegau"
"Hegrensis","3031","Estaires"
"Heickensis","4072","Heickensis"
"Heigisiensis","4075","Heigisiensis"
"Heijberch","4076","Heijberch"
"Heijcrugh","266","Heikruis"
"Heijd","4073","Heid"
"Heijdelbergensis","4074","Heidelberg"
"Heijkruyx","266","Heikruis"
"Heijlesemensis","447","Neerheylissem"
"Heijlesemiensis","447","Neerheylissem"
"Heijlichsemensis","447","Neerheylissem"
"Heijligemensis","447","Neerheylissem"
"Heijligenstadiensis","4077","Heijligenstadiensis"
"Heijlisemiensis","447","Neerheylissem"
"Heijlissem","4266","Heylissem"
"Heijloo","4083","Heiloo"
"Heijndonck","4086","Heindonk"
"Heijnsbergensis","4078","Heijnsbergensis"
"Heijnsberghensis","4089","Heinsberg"
"Heijnson","4079","Heijnson"
"Heijsdocumensis","4080","Heijsdocumensis"
"Heijst","267","Heist"
"Heijst ten Berghe","268","Heist-op-den-Berg"
"Heijstenberg","268","Heist-op-den-Berg"
"Heijstenbergh","268","Heist-op-den-Berg"
"Heijstensis","267","Heist"
"Heijswijcanus","4067","Heeswijk"
"Heijthuysen","4269","Heythuysen"
"Heilesemensis","447","Neerheylissem"
"Heilessem","4266","Heylissem"
"Heilichsemensis","4266","Heylissem"
"Heilissem","4102","Hélécine"
"Heillensis","4082","Heillensis"
"Heimersensis","4084","Heimersensis"
"Heino","4088","Heino"
"Heinsbergensis","4089","Heinsberg"
"Heirkensis","4090","Heirkensis"
"Heistensis","267","Heist"
"Hekelemiensis","4092","Hekelgem"
"Hekelgem","4092","Hekelgem"
"Hekelgeme","4092","Hekelgem"
"Hekelgemensis","4092","Hekelgem"
"Hekelgemiensis","4092","Hekelgem"
"Hekelgen","4092","Hekelgem"
"Hekelgeninchensis","4092","Hekelgem"
"Hekelghem","4092","Hekelgem"
"Hekenen","4081","Heiken"
"Helbecensis","4093","Helbecensis"
"Helbeeck","4114","Hellebeek"
"Helbekensis","4114","Hellebeek"
"Helbequiniensis","4114","Hellebeek"
"Helcemiensis","4094","Helcemiensis"
"Helchin","4112","Helkijn"
"Helchteren","270","Helchteren"
"Helchterensis","270","Helchteren"
"Helchtrensis","270","Helchteren"
"Helcterensis","270","Helchteren"
"Helden","0",""
"Heldensis","4095","Helden"
"Helder","4096","Helder"
"Heldergemius","4097","Heldergem"
"Helderghem","4097","Heldergem"
"Heldre","4098","Heldre"
"Heldropius","4100","Heldropius"
"Helechemensis","4101","Helechemensis"
"Helegen","4289","Hillegem"
"Helensis","0",""
"Helesem","4105","Helesem"
"Helesemensis","4106","Helesemensis"
"Helessimensis","4107","Helessimensis"
"Helgero","4108","Helgero"
"Helinghon","4109","Helinghon"
"Helission","4110","Helission"
"Helixemiensis","4111","Helixemiensis"
"Hellechenensis","4115","Hellechenensis"
"Hellelekensis","4116","Helleken"
"Hellemondanus","271","Helmond"
"Hellemundanus","271","Helmond"
"Hellensis","4103","Helen"
"Hellesim","4266","Heylissem"
"Hellesme","4117","Hellemmes"
"Hellick","9017","Zellik"
"Hellonius","4118","Hellonius"
"Hellvort","0",""
"Helmensis","4119","Helmensis"
"Helmondanus","271","Helmond"
"Helmondensis","271","Helmond"
"Helmont","271","Helmond"
"Helmontanus","271","Helmond"
"Helmontensis","271","Helmond"
"Helmundanus","271","Helmond"
"Heloniensis","4120","Heloniensis"
"Helpensis","4121","Helpensis"
"Helsel","4122","Helsel"
"Helvarenbergh","287","Hilvarenbeek"
"Helvarendoncq","4125","Helvarendoncq"
"Helvechius","9085","Switserland"
"Helversoel","2906","Elversele"
"Helvert","4127","Helvoirt"
"Helvetius","9085","Switserland"
"Helvetus","9085","Switserland"
"Helvinensis","4126","Helvinensis"
"Helvoirdt","4127","Helvoirt"
"Helvoort","4127","Helvoirt"
"Helvort","4127","Helvoirt"
"Hemaliensis","4128","Hemaliensis"
"Hembleensis","4129","Hembleensis"
"Hemden","2910","Emden"
"Hemensis","4130","Hemensis"
"Hemepensis","4131","Hemepensis"
"Hemertensis","4132","Hemert"
"Hemiesfiensis","4133","Hemiesfiensis"
"Hemingers","4135","Hemingers"
"Hemisse","4136","Hemisse"
"Hemissen ad Schaldim","4134","Hemiksem"
"Hemixensis","4134","Hemiksem"
"Hemixhem","4134","Hemiksem"
"Hemmierensis","4137","Hemmierensis"
"Hemna","4138","Hemna"
"Hemptensis","4140","Hemptensis"
"Hemptiane","4141","Hemptinne"
"Hemptine","4141","Hemptinne"
"Hemptines","4141","Hemptinne"
"Hemptinne","4141","Hemptinne"
"Hemtin","4141","Hemptinne"
"Hen Saint Piere","0",""
"Hendensis","4142","Hendensis"
"Hendongensis","4143","Hendongensis"
"Heneburgensis","4249","Heuneburg"
"Henensis","4145","Henensis"
"Hengelo","273","Hengelo"
"Henis","4147","Henis"
"Henkensant","4087","Heinkenszand"
"Henmaliensis","4148","Henmaliensis"
"Henmiger","4149","Henmiger"
"Henne","5999","multipel check"
"Henné","5999","multipel check"
"Hennenant","4150","Hennen"
"Hennensis","4150","Hennen"
"Henniriensis","4151","Henniriensis"
"Hennuyer","4152","Hennuyères"
"Hennuyers","4152","Hennuyères"
"Henri Chapelle","272","Hendrik-Kapelle"
"Henri la Chapelle","272","Hendrik-Kapelle"
"Henrichapelle","272","Hendrik-Kapelle"
"Henrij Chapelle","272","Hendrik-Kapelle"
"Henripont","4154","Henripont"
"Henry Chapelle","272","Hendrik-Kapelle"
"Hensebensis","4155","Hensebensis"
"Hensellanus","4156","Hensellanus"
"Hensensis","4238","Hesse"
"Hensies","4158","Hensies"
"Hentanensis","4159","Hentanensis"
"Henthaut","278","Herenthout"
"Henuieres","4152","Hennuyères"
"Henupen","4139","Hempen"
"Henvier","4160","Henvier"
"Hep Sauvage","2965","Eppe-Sauvage"
"Hepgni","274","Heppignies"
"Heppa Sylvestri","2965","Eppe-Sauvage"
"Heppe Sauvage","2965","Eppe-Sauvage"
"Heppegnies","274","Heppignies"
"Heppegnije","274","Heppignies"
"Heppensis","274","Heppignies"
"Heppeny","274","Heppignies"
"Heppigne","274","Heppignies"
"Heppigniensis","274","Heppignies"
"Heppignies","274","Heppignies"
"Heppignij","274","Heppignies"
"Heppignije","274","Heppignies"
"Heppigny","274","Heppignies"
"Heppiniensis","274","Heppignies"
"Heppinnies","274","Heppignies"
"Heppuies","4161","Heppuies"
"Heranensis","4162","Heranensis"
"Heratenius","4163","Heratenius"
"Herbaij","4164","Herbais"
"Herbais","4164","Herbais"
"Herbaix","4164","Herbais"
"Herbasiensis","4164","Herbais"
"Herbaut","189","Erbaut"
"Herbelingensis","4168","Herblingen"
"Herbergensis","4165","Herbergensis"
"Herbeumont","4167","Herbeumont"
"Herbipolensis","8972","Würzburg"
"Herbipolitane","0",""
"Herbodiensis","189","Erbaut"
"Hercanus","279","Herk-de-Stad"
"Hercensis","279","Herk-de-Stad"
"Hercetensis","4169","Hercetensis"
"Herchie","275","Herchies"
"Herchiensis","275","Herchies"
"Herchies","275","Herchies"
"Herchiez","275","Herchies"
"Hercianus","4170","Hercianus"
"Herciensis","275","Herchies"
"Herck","4183","Herk"
"Herckensis","279","Herk-de-Stad"
"Herckiensis","275","Herchies"
"Hercoe","4171","Hercoe"
"Herconensis","4172","Herconensis"
"Herde","4054","Heerde"
"Herdensis","4274","Hierden"
"Herderen","4174","Herderen"
"Herderensis","4174","Herderen"
"Herderevicensis","4175","Herderevicensis"
"Herderovicensis","3915","Harderwijk"
"Herdersem","4176","Herdersem"
"Herdersensis","4174","Herderen"
"Herdervyscenus","3915","Harderwijk"
"Herderwicensis","3915","Harderwijk"
"Herderwijcenus","3915","Harderwijk"
"Herderwycensis","3915","Harderwijk"
"Herdesin","4176","Herdersem"
"Herdrensis","4174","Herderen"
"Heredalensis","277","Herentals"
"Herefordiensis","0",""
"Herelensis","4059","Heerlen"
"Heren","3921","Haren"
"Herenbergensis","7213","'s-Heerenberg"
"Herendaelensis","277","Herentals"
"Herendalensis","277","Herentals"
"Herendaliensis","277","Herentals"
"Herendalii","0",""
"Herendaut","278","Herenthout"
"Herensis","4053","Heer"
"Herent","276","Herent"
"Herentael","277","Herentals"
"Herentalenses","277","Herentals"
"Herentalensis","277","Herentals"
"Herentaliensis","277","Herentals"
"Herentalius","277","Herentals"
"Herentallensis","277","Herentals"
"Herentals","277","Herentals"
"Herentaltensis","277","Herentals"
"Herentanus","276","Herent"
"Herentaut","278","Herenthout"
"Herentautanus","278","Herenthout"
"Herentenlanus","0",""
"Herentensis","276","Herent"
"Herententanus","4178","Herententanus"
"Herenthals","277","Herentals"
"Herenthaudt","278","Herenthout"
"Herenthaut","278","Herenthout"
"Herenthautanus","278","Herenthout"
"Herenthoudt","278","Herenthout"
"Herenthout","278","Herenthout"
"Herenthoutanus","278","Herenthout"
"Herentlensis","277","Herentals"
"Herentllensis","277","Herentals"
"Herentour","278","Herenthout"
"Herentoutanus","278","Herenthout"
"Heretalensis","277","Herentals"
"Herfelinghensis","4179","Herfelingen"
"Herffelingen","4179","Herfelingen"
"Herffiensis","4180","Herffiensis"
"Herin","4182","Hérinnes"
"Herinch","4181","Herinch"
"Herinensis","4182","Hérinnes"
"Herkanus","279","Herk-de-Stad"
"Herkelensis","4185","Herkelensis"
"Herkelinensis","2996","Erquelinnes"
"Herkensis","279","Herk-de-Stad"
"Herkiensis","279","Herk-de-Stad"
"Herlam","250","Haarlem"
"Herle","4059","Heerlen"
"Herlelingenensis","4179","Herfelingen"
"Herlem","250","Haarlem"
"Herlemensis","250","Haarlem"
"Herlemiensis","250","Haarlem"
"Herlemus","250","Haarlem"
"Herlensis","5999","multipel check"
"Herlenval","4189","Herlinval"
"Herlij","8080","Trier"
"Herlinckhove","4188","Herlinkhove"
"Herlinensis","4187","Herlinensis"
"Herlinghensis","3933","Harlingen"
"Herlingius","3933","Harlingen"
"Herllij","4191","Herly"
"Herln","0",""
"Herlnike","4190","Herlnike"
"Hermael","4192","Hermalle"
"Hermal","4192","Hermalle"
"Hermale","4192","Hermalle"
"Hermalensis","4192","Hermalle"
"Hermaliensis","4192","Hermalle"
"Hermalle","4192","Hermalle"
"Hermalliensis","4192","Hermalle"
"Hermalte","4192","Hermalle"
"Hermelensis","4192","Hermalle"
"Hermelghem","280","Hermelgem"
"Hermensis","4194","Hermée"
"Hermeton","4195","Hermeton"
"Hermille","4197","Hermille"
"Hermipolensis","4198","Hermipolensis"
"Hermondanus","4199","Hermondanus"
"Hermt","327","Kermt"
"Hern","7508","Sint-Huibrechts-Hern"
"Hernaliensis","4200","Hernals"
"Hernanus","281","Herne"
"Herne","281","Herne"
"Hernensis","281","Herne"
"Herniacensis","4201","Herniacensis"
"Herniensis","7507","Sint-Huibrechts-Hern of Herne check"
"Hernis","281","Herne"
"Hernleriensis","4202","Hernleriensis"
"Hernuensis","4203","Hernuensis"
"Heron","4204","Héron"
"Heronensis","4204","Héron"
"Herpekensis","4205","Herpekensis"
"Herpen","191","Erpe"
"Herpen Inferior","6081","Neerhespen"
"Herpensis","191","Erpe"
"Herpentinne","4323","Hoepertingen"
"Herphanus","282","Herve"
"Herphensis","282","Herve"
"Herpinae","274","Heppignies"
"Herpiniensis","4207","Herpiniensis"
"Herpionensis","192","Erpion"
"Herps","4208","Herps"
"Herrewijck","4209","Herrewijck"
"Herrine","4182","Hérinnes"
"Herseaux","283","Herzeeuw"
"Hersel","5999","multipel check"
"Hersele","4229","Herzele"
"Herselensis","4229","Herzele"
"Herseles","4229","Herzele"
"Herselle","4229","Herzele"
"Hersellensis","4229","Herzele"
"Herselt","4212","Herselt"
"Hersille","4229","Herzele"
"Hersougenrodensis","4230","Herzogenrath of 's-Hertogenrade check"
"Herssel","4211","Hersel"
