"descriptor","Place_ID","place_standard"
"a Quercu","6836","Quercu"
"a Rabenneck","6851","Rabenneck"
"a Raittnon","6860","Raittnon"
"a Rammeurs","6865","Rammeurs"
"a Renes","6932","Renesse"
"a Riethen","7004","Riethen"
"a Riethoven","7005","Riethoven"
"a Rinino","7035","Rinino"
"a Roderdamis","537","Rotterdam"
"a Rodio","353","Le Rœulx"
"a Roosendael","7166","Rozendaal"
"a Rosenbach","7121","Rosenbach"
"a Rothenaco","533","Ronse"
"a Rothnaco","533","Ronse"
"a Rothonaco","533","Ronse"
"a Rotornaco","533","Ronse"
"a Rupe Forti","7055","Rochefort"
"a Rupeforti","7055","Rochefort"
"a Ruperforti","7055","Rochefort"
"a Salinis","7276","Salins"
"a Salsbroeck","7283","Salsbroeck"
"a Sambeck","7291","Sambeek"
"a Sancto Amando","7220","Saint-Amand"
"a Sancto Andrea","7221","Saint-André"
"a Sancto Claudio","7226","Saint-Claude"
"a Sancto Gerardo","7233","Saint-Gérard"
"a Sancto Germano","548","Saint-Germain"
"a Sancto Ghisleno","549","Saint-Ghislain"
"a Sancto Gisleno","549","Saint-Ghislain"
"a Sancto Hubero","550","Saint-Hubert"
"a Sancto Huberto","550","Saint-Hubert"
"a Sancto Martino","7243","Saint-Martin"
"a Sancto Nicolao","571","Sint-Niklaas"
"a Sancto Odomaro","574","Sint-Omaars"
"a Sancto Trudone","580","Sint-Truiden"
"a Scharpsfonstein","7344","Scharpsfonstein"
"a Schoenhovia","7375","Schoonhoven"
"a Schonenburch","7371","Schönenberg"
"a Schouwenborch","7386","Schouwenborch"
"a Scoondijcke","7374","Schoondijke"
"a Scoonhovia","7375","Schoonhoven"
"a Seckendorff","7408","Seckendorff"
"a Septem Fontibus","7441","Septfontaines"
"a Serine","7448","Serine"
"a Sichenis","9032","Zichem"
"a Siriczee","9034","Zierikzee"
"a Sirixzee","9034","Zierikzee"
"a Sneca","7591","Sneek"
"a Sonegis","714","Zinnik"
"a Soulmoy","0",""
"a Sto Georgio Winck","7515","Sint-Joris-Winge"
"a Sto Gerardo","7233","Saint-Gérard"
"a Sto Huberto","550","Saint-Hubert"
"a Stockem","7762","Stokkem"
"a Stryp","7792","Stryp"
"a Stunica","7793","Stunica"
"a Superiori Itter","6420","Opitter"
"a Svollis","9086","Zwolle"
"a Swartenborch","9079","Zwarteberg"
"a Swollis","9086","Zwolle"
"a Sychenis","9032","Zichem"
"a Synaco","2293","Ciney"
"a Templuvia","7867","Templeuve"
"a Teneramonda","156","Dendermonde"
"a Teneramondia","156","Dendermonde"
"a Teneramunda","156","Dendermonde"
"a Thenis","621","Tienen"
"a Tielroe","7965","Tielrode"
"a Tiledo","7973","Tiledo"
"a Tileto","620","Tielt"
"a Tongerlia","8017","Tongerlia"
"a Tongerloz","8019","Tongerlo"
"a Torebasio Sancti Trudonis","7939","Thorembais-Saint-Trond"
"a Tornaco","168","Doornik"
"a Trajecto","635","Utrecht"
"a Trajecto Inferiori","635","Utrecht"
"a Trajecto super Mosam","397","Maastricht"
"a Trajecto superiore","397","Maastricht"
"a Trajecto Superiori","397","Maastricht"
"a Treveris","8080","Trier"
"a Tudionio","619","Thuin"
"a Twento","8126","Twente"
"a Uveto","8164","Uveto"
"a Valcuria","8595","Walcourt"
"a Valencenis","637","Valenciennes"
"a Valenchenis","637","Valenciennes"
"a Vallencenis","637","Valenciennes"
"a Varschavia","8678","Warschau"
"a Vasnystet","8212","Vasnystet"
"a Veersel","8224","Veersel"
"a Vellem","8250","Velm"
"a Verduno","8291","Verdun"
"a Vessem","8329","Vessem"
"a Veteri Busco","6518","Oudenbosch"
"a Vianen","8336","Vianen"
"a Villanio","8387","Villers-la-Ville"
"a Villario Episcopi","8384","Villers-l'Evêque"
"a Vilvordia","8407","Vilvoorde"
"a Vissennaken","8433","Vissennaken"
"a Voerde","8473","Voerde"
"a Vorst","659","Vorst"
"a Vossem","8511","Vossem"
"a Vunater","8535","Vunater"
"a Vura","7893","Tervuren"
"a Vyanen","8336","Vianen"
"a Wallensis","8610","Wallen"
"a Wancenia","8634","Wancennes"
"a Wavria","678","Waver"
"a Weelde","8734","Weelde"
"a Wert","8787","Wert"
"a Werteren","690","Wetteren"
"a Werviaco","686","Wervik"
"a Wespheimb","8801","Wespheimb"
"a Wesselebueren","8803","Wesselburen"
"a Westerhoven","687","Westerhoven"
"a Westherck","8814","Westkerke"
"a Wettere","690","Wetteren"
"a Wiingaerden","8845","Wiingaerden"
"a Wijck","8974","Wyck"
"a Willwordia","8407","Vilvoorde"
"a Wirtsburch","8972","Würzburg"
"a Witschiel","8908","Witschiel"
"a Womperingis","8935","Womperingis"
"a Zeijl","9010","Zeijl"
"a Zeyn","9031","Zeyn"
"a Ziriczee","9034","Zierikzee"
"a Zirixea","9034","Zierikzee"
"Aa","8","Aat"
"ab Aath","8","Aat"
"ab Aet","8","Aat"
"ab Albrechtsbourg","847","Albrechtsbourg"
"ab Alcmaria","865","Alkmaar"
"ab Aldenardo","490","Oudenaarde"
"ab Aldernardo","490","Oudenaarde"
"ab Alken","864","Alken"
"ab Alkmaria","865","Alkmaar"
"ab Almkercke","873","Almkerk"
"ab Alosto","5","Aalst"
"ab Altomonte","4001","Hautmont"
"ab Alusto","5","Aalst"
"ab Ameronghen","914","Amerongen"
"ab Amersfort","916","Amersfoort"
"ab Amsterdamis","17","Amsterdam"
"ab Amsterdammis","17","Amsterdam"
"ab Andana","18","Andenne"
