source_id,project_id,link,external_id,import
2259,23,https://lib.is/alma9978990760101488,9978990760101488,Imported from 20230728_Omeka_Lovaniensia.csv
2260,23,https://lib.is/alma9978990380101488,9978990380101488,Imported from 20230728_Omeka_Lovaniensia.csv
2261,23,https://lib.is/alma9992665305801488,9992665305801488,Imported from 20230728_Omeka_Lovaniensia.csv
2262,23,https://lib.is/alma9912002810101488,9912002810101488,Imported from 20230728_Omeka_Lovaniensia.csv
2263,23,https://lib.is/alma9978984320101488,9978984320101488,Imported from 20230728_Omeka_Lovaniensia.csv
2264,23,https://lib.is/alma9912869370101488,9912869370101488,Imported from 20230728_Omeka_Lovaniensia.csv
2265,23,https://lib.is/alma9970204640101488,9970204640101488,Imported from 20230728_Omeka_Lovaniensia.csv
2266,23,https://lib.is/alma9978983150101488,9978983150101488,Imported from 20230728_Omeka_Lovaniensia.csv
2267,23,https://lib.is/alma9978981790101488,9978981790101488,Imported from 20230728_Omeka_Lovaniensia.csv
2268,23,https://lib.is/alma9937165090101488,9937165090101488,Imported from 20230728_Omeka_Lovaniensia.csv
2269,23,https://lib.is/alma9978979460101488,9978979460101488,Imported from 20230728_Omeka_Lovaniensia.csv
2270,23,https://lib.is/alma9974615010101488,9974615010101488,Imported from 20230728_Omeka_Lovaniensia.csv
2271,23,https://lib.is/alma998885340101488,998885340101488,Imported from 20230728_Omeka_Lovaniensia.csv
2272,23,https://lib.is/alma999157860101488,999157860101488,Imported from 20230728_Omeka_Lovaniensia.csv
2273,23,https://lib.is/alma99547200101488,99547200101488,Imported from 20230728_Omeka_Lovaniensia.csv
2274,23,https://lib.is/alma99546140101488,99546140101488,Imported from 20230728_Omeka_Lovaniensia.csv
2275,23,https://lib.is/alma995270150101488,995270150101488,Imported from 20230728_Omeka_Lovaniensia.csv
2276,23,https://lib.is/alma9992403199601488,9992403199601488,Imported from 20230728_Omeka_Lovaniensia.csv
2277,23,https://lib.is/alma993685810101488,993685810101488,Imported from 20230728_Omeka_Lovaniensia.csv
2278,23,https://lib.is/alma99749620101488,99749620101488,Imported from 20230728_Omeka_Lovaniensia.csv
2279,23,https://lib.is/alma99547550101488,99547550101488,Imported from 20230728_Omeka_Lovaniensia.csv
2280,23,https://lib.is/alma99547290101488,99547290101488,Imported from 20230728_Omeka_Lovaniensia.csv
2281,23,https://lib.is/alma9911465550101488,9911465550101488,Imported from 20230728_Omeka_Lovaniensia.csv
2282,23,https://lib.is/alma9934814730101488,9934814730101488,Imported from 20230728_Omeka_Lovaniensia.csv
2283,23,https://lib.is/alma9919504820101488,9919504820101488,Imported from 20230728_Omeka_Lovaniensia.csv
2284,23,https://lib.is/alma9913935780101488,9913935780101488,Imported from 20230728_Omeka_Lovaniensia.csv
2285,23,https://lib.is/alma9913935350101488,9913935350101488,Imported from 20230728_Omeka_Lovaniensia.csv
2286,23,https://lib.is/alma9919502550101488,9919502550101488,Imported from 20230728_Omeka_Lovaniensia.csv
2287,23,https://lib.is/alma9913935240101488,9913935240101488,Imported from 20230728_Omeka_Lovaniensia.csv
2288,23,https://lib.is/alma9928662520101488,9928662520101488,Imported from 20230728_Omeka_Lovaniensia.csv
2289,23,https://lib.is/alma9978952720101488,9978952720101488,Imported from 20230728_Omeka_Lovaniensia.csv
2290,23,https://lib.is/alma9922416890101488,9922416890101488,Imported from 20230728_Omeka_Lovaniensia.csv
2291,23,https://lib.is/alma9978951070101488,9978951070101488,Imported from 20230728_Omeka_Lovaniensia.csv
2292,23,https://lib.is/alma9978949770101488,9978949770101488,Imported from 20230728_Omeka_Lovaniensia.csv
2293,23,https://lib.is/alma9911319110101488,9911319110101488,Imported from 20230728_Omeka_Lovaniensia.csv
2294,23,https://lib.is/alma992391130101488,992391130101488,Imported from 20230728_Omeka_Lovaniensia.csv
2295,23,https://lib.is/alma9925923370101488,9925923370101488,Imported from 20230728_Omeka_Lovaniensia.csv
2296,23,https://lib.is/alma9925950190101488,9925950190101488,Imported from 20230728_Omeka_Lovaniensia.csv
2297,23,https://lib.is/alma994675490101488,994675490101488,Imported from 20230728_Omeka_Lovaniensia.csv
2298,23,https://lib.is/alma9925922010101488,9925922010101488,Imported from 20230728_Omeka_Lovaniensia.csv
2299,23,https://lib.is/alma9925927250101488,9925927250101488,Imported from 20230728_Omeka_Lovaniensia.csv
2300,23,https://lib.is/alma9924558250101488,9924558250101488,Imported from 20230728_Omeka_Lovaniensia.csv
2301,23,https://lib.is/alma9925950060101488,9925950060101488,Imported from 20230728_Omeka_Lovaniensia.csv
2302,23,https://lib.is/alma9912585000101488,9912585000101488,Imported from 20230728_Omeka_Lovaniensia.csv
2303,23,https://lib.is/alma9910986940101488,9910986940101488,Imported from 20230728_Omeka_Lovaniensia.csv
2304,23,https://lib.is/alma9917565380101488,9917565380101488,Imported from 20230728_Omeka_Lovaniensia.csv
2305,23,https://lib.is/alma9925930460101488,9925930460101488,Imported from 20230728_Omeka_Lovaniensia.csv
2306,23,https://lib.is/alma9992259806901488,9992259806901488,Imported from 20230728_Omeka_Lovaniensia.csv
2307,23,https://lib.is/alma9925940060101488,9925940060101488,Imported from 20230728_Omeka_Lovaniensia.csv
2308,23,https://lib.is/alma9925938330101488,9925938330101488,Imported from 20230728_Omeka_Lovaniensia.csv
2309,23,https://lib.is/alma9925930730101488,9925930730101488,Imported from 20230728_Omeka_Lovaniensia.csv
2310,23,https://lib.is/alma998083780101488,998083780101488,Imported from 20230728_Omeka_Lovaniensia.csv
2311,23,https://lib.is/alma998015860101488,998015860101488,Imported from 20230728_Omeka_Lovaniensia.csv
2312,23,https://lib.is/alma994675430101488,994675430101488,Imported from 20230728_Omeka_Lovaniensia.csv
2313,23,https://lib.is/alma994767640101488,994767640101488,Imported from 20230728_Omeka_Lovaniensia.csv
2314,23,https://lib.is/alma9912919410101488,9912919410101488,Imported from 20230728_Omeka_Lovaniensia.csv
2315,23,https://lib.is/alma998651250101488,998651250101488,Imported from 20230728_Omeka_Lovaniensia.csv
2316,23,https://lib.is/alma9914887660101488,9914887660101488,Imported from 20230728_Omeka_Lovaniensia.csv
2317,23,https://lib.is/alma9925989900101488,9925989900101488,Imported from 20230728_Omeka_Lovaniensia.csv
2318,23,https://lib.is/alma9925905750101488,9925905750101488,Imported from 20230728_Omeka_Lovaniensia.csv
2319,23,https://lib.is/alma9911718350101488,9911718350101488,Imported from 20230728_Omeka_Lovaniensia.csv
2320,23,https://lib.is/alma9911905130101488,9911905130101488,Imported from 20230728_Omeka_Lovaniensia.csv
2321,23,https://lib.is/alma996209830101488,996209830101488,Imported from 20230728_Omeka_Lovaniensia.csv
2322,23,https://lib.is/alma9911718670101488,9911718670101488,Imported from 20230728_Omeka_Lovaniensia.csv
2323,23,https://lib.is/alma991810420101488,991810420101488,Imported from 20230728_Omeka_Lovaniensia.csv
2324,23,https://lib.is/alma998188300101488,998188300101488,Imported from 20230728_Omeka_Lovaniensia.csv
2325,23,https://lib.is/alma992291820101488,992291820101488,Imported from 20230728_Omeka_Lovaniensia.csv
2326,23,https://lib.is/alma9992600009701488,9992600009701488,Imported from 20230728_Omeka_Lovaniensia.csv
